page_nb;date;document_name;content
5.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);Toutes autre intervention en dehors de ses horaires sera considérée comme une intervention d’urgence. Les dates fixées d’un commun accord peuvent être modifiées exceptionnellement à la demande du Client, de 3S-NUMERIQUE ou en cas de force majeure ou d’empêchement externe (grève, intempéries). Une nouvelle date sera fixée d’un commun accord pour respecter le contrat le mieux possible. 4.2. Intervention sur site : L’horaire normal du support sur site d’une journée est réalisé entre 9h et 18h en semaine du Lundi au Vendredi. Toutes autre intervention en dehors de ses horaires sera considérée comme une intervention d’urgence. Les dates fixées d’un commun accord peuvent être modifiées exceptionnellement à la demande du Client, de 3S-NUMERIQUE ou en cas de force majeure ou d’empêchement externe (grève, intempéries). Une nouvelle date sera fixée d’un commun accord pour respecter le contrat le mieux possible.  5. Exécution du contrat: Les prestations définies dans ce document comptent la mise en place d’outils de 3SNUMERIQUE permettant la gestion, la télésurveillance et la prise de contrôle à distance des systèmes informatiques. L’installation de ses outils sont nécessaire pour la bonne exécution du contrat et sont donc considéré comme accepté par le client. Ses outils ne rajouté aucun coût pour le client. 
6.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);6. Equipement prise en charge : Les équipements pris en charge par 3s-numerique sont du type :  -  Ordinateur personnel fixe ou portable installé avec Windows versions vista et supérieur.  -  Ordinateur personnel fixe ou portable MacOs X versions vista et supérieur  -  Ordinateur personnel fixe ou portable linux.  -  Serveur de type Windows server.  -  Serveur de type linux.  -  Routeur / Pare-feu  -  Switch  -  Boitier Wifi 7. Garantie de temps d’intervention : La garantie de temps d’intervention est le temps nécessaire par l’équipe de 3S-NUMERIQUE à prendre en compte votre demande, à faire une première évaluation et à vous rappeler pour soit solutionner la demande soit prévoir avec vous un rendez-vous physique ou à distance pour engager le règlement du problème. Ce temps d’intervention ne reflète en rien le temps nécessaire à la résolution d’une problématique. Cette problématique peut être dépendant d’élément extérieur non maitrisé par 3S-NUMERIQUE : délai de livraison, remplacement d’équipements, attente de service après-vente fournisseur… 8. Surveillance d’équipement : Sont prise en charge les équipements pouvant être surveillé par un agent installé ou par protocole réseau SNMP. Sont prise en charge les équipements suivants : switch, pare-feu, routeur, borne wifi et imprimante. 
7.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);9. Administration des équipements réseaux : Mise en place et entretien d’un réseau configuré pour répondre au besoin client en intégrant les méthodes de cybersécurités actuelles. 10. Proposition et amélioration de l’existant : 3s-numerique sera moteur pour vous conseiller de façon bisannuelle des évolutions et ou des améliorations de vos produits informatiques. Ses conseils peuvent être :  -  Nouveaux outils informatiques permettant une amélioration de la productivité.  -  Amélioration du coût par rapport au service d’outils utilisé.  -  Mise en concurrence sur des abonnements (logiciel, réseau informatique...).  -  Vétusté des équipements.  -  Vente de produit d’occasion ou neuf pour les remplacements nécessaires.  -  Formation des équipes aux outils et à la cybersécurité.  -  Cybersécurité ... 11. Documentation client : 3s-numerique met en place pour le client une documentation sur l’informatique du client :  -  Inventaire des équipements.  -  Inventaire des logiciels et outils utilisé.  -  Inventaire réseau et configuration cybersécurité.  -  Mise en place d’un plan de continuité de l’activité.  -  Mise en place d’un cahier d’urgence. Ses éléments sont disponibles pour le client soit en physique soit sur le portail de partage de 3s-numerique. L’infogérance s’accompagne toujours d’un audit informatique du client permettant d’avoir une vision claire de l’état des systèmes et de la sécurité informatique. 
8.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);12. Tarif : L’infogérance est pour l’IOT VALLEY au prix de : 13340,04 euros HT annuel. 13. Conditions de règlement : Les prestations seront facturées en début de prestation et payé mensuellement par prélèvement SEPA. 14. Révision du tarif : https://www.syntec.fr/indicateurs/indice-syntec/ La révision du tarif est indexée grâce à l’indicateur SYNTEC du prix de l’évolution des services :  Indice Syntec publié le 31/12/2022 Novembre 2022 : 289.97 Indice Syntec publié le 29/12/2023 Novembre 2023 : 307.0 
8.0;01/01/2023;2024 Condition particuliére - Infogérance - iot valley (1);La révision du tarif est effectuée suivant la formule ci-contre : Prix de l’infogérance actuel x (valeur de l’indice à N / valeur de l’indice du mois à N) = Nouveau prix. 
0.0;13/12/2017;Contrat 2017-2018;OFFRE COMMERCIALE Contrat de maintenance NŁ affaire NŁ offre Revision Date 306161FR-OFF-HVT-2017-0538-L1 REV_01 13/12/2017Client Objet IOT VALLEY 231 
0.0;13/12/2017;Contrat 2017-2018;IOT VALLEY 231 LABEGE Destinataire Tel. e-mail Monsieur Vanis BENSETII 0562242926 yanis@iot-valley.fr 231 Rue Pierre et Marie Curie 31670 LABEGE -FRANCE Agence Midi-Pyrenees -Aquitaine rue Guglielmo Marconi 
0.0;13/12/2017;Contrat 2017-2018;ZA Triasis 31140 Launaguet Tel. +33 (0)5 62 89 26 26 e-mail : info.toulouse@socomec.com your energy our ex1>ertise 
1.0;13/12/2017;Contrat 2017-2018;"APROPOS Depuis 1922, Socomec convoit et fabrique en Europe des produits et des solutions garantissant la disponibilite, le controle et la securite des reseaux electriques basse tension. Constructeur independant, le groupe innove en continu pour ameliorer la performance energetique des installations electriques des infrastructures et des sites industriels et tertiaires. Expert Services Etre a vos cotes pour vous garantlr une energle dlsponlble, sure et efflcace SOCOMEC fournit des services a forte valeur ajoutee pour accompagner l'etude, la mise en ceuvre, !'exploitation et la maintenance de ses solutions. L'expertise et la proximite de nos specialistes assurent la fiabilite et la durabilite de vos equipements par , nos services, notamment la maintenance preventive, qui reduisent le risque et ameliorent l'efficacite des equipements, • la mesure et !'analyse d'un large eventail de parametres electriques conduisant a des recommandations d'amelioration de la qualite de l'alimentation electrique, "" !'optimisation du coat total des solutions et l'accompagnement pour une transition sure lors de la migration vers une nouvelle generation d'equipements, le conseil, la mise en ceuvre et la formation, de l'ingenierie de projet a !'installation de solutions, "
1.0;13/12/2017;Contrat 2017-2018;l'etude de la performance de !'installation electrique tout au long du cycle de vie des produits par !'analyse des donnees transmises par les produits connectes. Monsieur, Pour faire suite a votre demande, nous vous remettons notre proposition de contrat de maintenance pour les equipements decrits ci-apres. Cette offre de Contrat de Maintenance vous permettra de perenniser les equipements d'energie de haute qualite alimentant vos systemes critiques. Nous esperons que notre proposition repondra a vos attentes et retiendra favorablement votre attention. Nous restons a votre disposition pour tout renseignement complementaire et vous prions d'agreer !'assurance de nos sinceres salutations. Paulette MONTINA Commerciale Sedentaire 1+33 (0)5 62 89 26 22 paulette. montina@socomec.com 
1.0;13/12/2017;Contrat 2017-2018;Ł +33 (0)5 62 09 94 58 Herve TROTOUX +33 (0)5 62 89 26 20 +33 (0)6 21 24 26 19 herve.trotoux@socomec.com Ł +33 (0)5 62 89 26 17 
2.0;13/12/2017;Contrat 2017-2018;CONTRAT DE MAINTENANCE EOUIPEMENT(S) CONCERNŁ(S) Nb Phases Nb.  -N° serle I I Marque Modele Pulssance I I Type I  EIS l.•.r.r.mŁt!'II SICOVAL 231 Rue Pierre et Marie Curle 31670 lABl::GE-FRANCE P241560001 •  - I ŁOCOMECCP 1 •  -Green Power 2.0  MASTERYS 30kVA 03-marsI 
2.0;13/12/2017;Contrat 2017-2018;C1 Modules P241560001 Date mlse en service Date fin de garantle Locante 09/09/2016 08/09/2017 Local electrique C1 unitaire(s) avec by-pass TYPE DE CONTRAT(S) PROPOSE(S) l Description des services Proposition 1  - PLATINUM' us Contrat de maintenance 
2.0;13/12/2017;Contrat 2017-2018;Contrat de maintenance ✓ Duree du contra! 12 mois Maintenance preventive 1 visite de maintenance preventive annuelle ✓ Visite(s) de maintenance preventive realisee(s) pendant les heures normales de travail ✓ 
2.0;13/12/2017;Contrat 2017-2018;Rapport sur la maintenance preventive incluant des recommandations ✓ Mise a jour des logiciels ✓ Maintenance curative Totalile de la main-d'c:euvre et du kilometrage ✓ Assistance Totalite des pieces de rechange d'origine (saul 
2.0;13/12/2017;Contrat 2017-2018;condensateurs, ventilateurs et batteries) telephonlque et Delal d'lnterventlon sur site ✓ Acces a !'assistance technique par telephone pendant les heures normales de travail ✓ Assistance telephonique d'urgence 24f7 et intervention 24{7 garantie sur site dans les 6 heures ✓ 
2.0;13/12/2017;Contrat 2017-2018;Oisponibilite technique SOCOMEC 24f7 ✓ Disponibilite du personnel d'encadrement 24/7 ✓ MONTANT TOTAL ANNUEL 1 312,00 € Option : Astrelnte 24h/24h, 365 jours par an avec delal 420,00 € MONT
2.0;13/12/2017;Contrat 2017-2018;ANT TOTAL NET ANNUEL (HT) 1 732,00 € 
3.0;13/12/2017;Contrat 2017-2018;LES INTERVENANTS TECHNIQUES Les equipes SOCOMEC disposent de !'ensemble des habilitations necessaires a la maintenance des equipements listes precedemment. De formation technique, tous les techniciens SOCOMEC suivent un parcours de formation de 5 semaines dans nos usines accompagnes par un senior a leur entree. D'autre part nos techniciens suivent une formation continue de plusieurs semaines par an afin de developper leurs competences et connaissances sur les nouvelles solutions SOCOMEC. Une Matrice de competences est mise en place dans laquelle le niveau de tous les technicians est repertorie et analyse afin de repondre au mieux aux besoins clients. La Securlte avant tout : chaque intervenant a en sa possession l'Equipement de Protection lndividuelle (EPI): lunettes de protection, casque, gants isoles, veste ignifugee, chaussures de securite, bouchons d'oreilles, ... Les bons outils : un ordinateur portable embarquant tous les logiciels necessaires ainsi que du materiel de mesure etalonne tousles ans par noire service metrologie (Oscilloscope, Energimetre, ...) et des outils don! certains son! isole electriquement (pinces, tournevis, ...) sont remis a chaque technicien pour exercer ses fonctions. Les missions princlpales (si applicables) : r Realiser la Maintenance des installations, Assurer la Maintenance preventive programmee pour les installations techniques suivant les plannings etablis, 
3.0;13/12/2017;Contrat 2017-2018;r Assurer la fourniture des consommables inclus au contrat, Realiser les interventions de depannage et de continuite de la prestation en toute circonstance, Realiser les interventions liees a des travaux de modification ou d'amelioration, Realiser les essais et les controles de bon fonctionnement des installations de securite et de s0rete, • Garantir le retour des informations pour le bouclage des interventions realisees, u Consigner leurs interventions sur le rapport d'intervention et de maintenance. CONDITIONS FINANCIERES 
3.0;13/12/2017;Contrat 2017-2018;CONDITIONS COMMERCIAl.ES Duree de validite Conditions de facturation 1Duree du contra! Delai de reglement Les conditions de cette offre sont valables durant 60 jours a partir de sa date d'emission. Annuelle en debut de periode 12mois renouvelable par tacite reconduction. 
3.0;13/12/2017;Contrat 2017-2018;V45 VIREMENT A 45 J.RECEPTION FACT Date d'effet du contra! • Date de fin du contrat u Adresse de facturation 13/12/201712/12/2018231
3.0;13/12/2017;Contrat 2017-2018;Rue Pierre et Marie Curie 31670 LABEGE FRANCE 
4.0;13/12/2017;Contrat 2017-2018;"LIMITE DE PRESTATION Notre proposition technique ne comprend pas Toutes operations non listees dans le present document et ses annexes ou document signe comme la procedure d'intervention ""method of statement"" ne sont pas sous la responsabilite de Socomec et du technicien d'intervention. c-Toutes operations sur un equipement autre que ceux mentionnes dans le present document I contrat sans la demande ou acceptation ecrite du client. ' La consignation des installations. Cet accord sera suivi d'un numero de commande Si oui et si connu, numero de commande QUI □ NON □ Signature et cachet SOCOMEC "
4.0;13/12/2017;Contrat 2017-2018;Date : /')//'L /t 1• • /}-
5.0;13/12/2017;Contrat 2017-2018;ANNEXES ( Voir pages suivantes ) Annexe 1 Informations Securite 
6.0;13/12/2017;Contrat 2017-2018;"CONDITIONS PARTICULIERES DU CONTRAT DE MAINTENANCE PLATINUM SOCOMEC s'engage a realiser toutes tes mesures de maintenance preventive et corrective des Equipements, conformement aux presentes Conditions Particutieres, partie lntegrante du Contrat de maintenance. t DESCRIPTION DE PLATINUM SOCOMEC foumlra les Services de maintenance suivants a) MAINTENANCE PREVENTIVE Une (1) visite ANNUELLE de maintenance preventive comprenant • contr0te etectrlque, regtage ; • contr0le de fonctionnement "
6.0;13/12/2017;Contrat 2017-2018;"• contr0te mecanique; • contr0te de ta tension des batteries • contr0le des atarmes et des avertissements  - inspection environnementate des installations • nettoyage des cartes de circuits imprimes etectroniques (PCB) • mises a jour des togiciets. La realisation de ces services sera ptantfiee avec le CLIENT et intervtendra, sauf stipulation contraire dans t'Offre commerciale, du lundi au jeudI de 08h t 5 a 12h00 et de 13h30 a 17h30. Le vendredi de 08h15 a 12h00 et de 13h30 a 17h00. Jours feries exclus. Les services incluent les deptacements et le coot de ta main d'reuvre. b) "
6.0;13/12/2017;Contrat 2017-2018;"MAINTENANCE CORRECTIVE : • ASSISTANCE TELEPHONIOUE dediee;  - du tundi au jeudi de 08h15 a 12h00 et de 13h30 a 17h30;  - Le vendredi de 08h15 a 12h00 et de 13h30 a 17h00 depuis le Centre d'appets SOCOMEC; -DELA! D'INTERVENTION SUR SITE avant 17HOO le jour ouvrable suivant;  - VISITES SUR SITE : nombre illimite d'interventions, du lundi au jeudi de 08h15 a 12h00 et de 13h30 a 17h30. Le vendredi de 08h15 a 12h00 et de 13h30 a 17h00, jours feries exctus en ce inclus les deptacements et le cout de la main d'reuvre. c) FOURNITURE DES PIECES DE RECHANGE,notamment: cartes electroniques (PCB) (a !'exclusion des cartes d'atimentation), transformateurs, fusibles, interrupteurs, disjoncteurs et toutes tes pieces autres que tes Consommabtes vises a !'article 2 des presentes. d) OPTIONS :tous services supptementaires derogeant a ou comptetant le present article, specifies dans l'Ottre commerciale. 2f:XCLUSIONS Saul stipulation contraire dans l'Ottre commerciale, les services et les foumitures suivants ne sont pas compris dans tes Services de maintenance relevant du contrat PLATINUM a) Fourniture et rem placement des ventitateurs, des condensateurs et des cartes d'alirnentation (tes .. Consommabtes •); b) Fourniture et ,emplacement de batteries; c) "
6.0;13/12/2017;Contrat 2017-2018;"Toute prestation de maintenance rendue necessaire par la survenance d'un ou plusieurs degats vises a !'Article 2.2 des • Conditions generates du Contrat de maintenance ""· 3. Hll DE VIE DES PRO0UITS SOCOMEC attire !'attention du Client sur ta probtematique de fin de vie des produits, susceptible de concerner, en tout ou partie, tes Equipements. SOCOMEC s'engage a informer le Client, te cas echeant, de la survenance d'une situation de fin de vie des produtts. Les Parties s·engagent a se rapprocher afin de renegocier de bonne fol les termes du Contra! de maintenance, ce dans un delai maximum de soixante (60) jours a compter de l'information fournie par SOCOMEC au Client de la survenance de la situation de fin de vie. , DIVCRS a} Saul stipulation contraire dans l'Ottre commerciale, les Services de maintenance n'incluent pas la formation du personnel du Client a !'utilisation des Equipements. b} La fourniture des Pieces de rechange et. en cas d'Option, des Consommables au titre des Services de maintenance n'implique pas !'obligation de fourniture de Pieces de rechange et/ou Consommables identiques au produit d'origine. Le Service de maintenance pourra Łtre d0ment realise au moyen de piece similaire au produit d'origine, presentant la mŁe fonctionnalite que le produit d'origine. c) Le present Contra! de maintenance peut coincider avec la periode de garantie des Equlpements. II ne se substitue en aucun cas a la garantie du fabricant sur les Equipements "
7.0;13/12/2017;Contrat 2017-2018;"SILVER SOCOMEC s'engage a realiser toutes !es mesures de maintenance preventive et corrective des Equipements, conformement aux presentes Conditions Particulieres, partie integrante du Contra! de maintenance. 1. DESCRIPTION DE SilVEH SOCOMEC foumira les Services de maintenance suivants a) MAINTENANCE PREVENTIVE Une (1) visite ANNUELLE de maintenance preventive comprenant  - contrOle electrique. reglage -conlrOle de fonctionnemenl  - conlrOle mecanique ;  - contrOle de la tension des batteries  - contrOle des alarmes el des avertissements -inspection environnementale des installations • nettoyage des cartes de circuits lmprimes electroniques (PCB)  - mises a jour des logiciels. La realisation de ces services sera planifiee avec le CLIENT et interviendra. saul stipulation contraire dans f'Ottre commerciale, du lundi au jeudi de OSh15 a 12h00 et de 13h30 a 17h30. Le vendredi de 08h15 a 12h00 et de 13h30 a 17h00. jours leries exclus. Les Services incluent le deplacement et le coot de la main d'ceuvre inherents a la visite annuelle b) MAINTENANCE CORRECTIVE  - ASSISTANCE TELEPHONIQUE dediee: -du lundi au jeudi de 08h15 a 12h00 et de 13h30 a 17h30;  - Le vendredi de OBht 5 a 12h00 et de 13h30 a 17h00 depuis le Centre d'appels SOCOMEC: • DELA! D'INTERVENTION SUR SITE avant 17HOO le jour ouvrable suivant; "
7.0;13/12/2017;Contrat 2017-2018;"c) OPTIONS : tous services supplementaires derogeant a ou completant le present article, specifies dans f'Ottre commerciale. 2EXCL.USIOHS Saul stipulation contraire dans l'Ottre commerciale, !es services suivants ne sont pas inclus dans !es Services de maintenance relevant du central SILVER: a) CoOt de la main d'ceuvre et des deplacements dans le cadre de la Maintenance corrective et pour toute visite supplementaire de maintenance preventive, b) Fourniture et remplacement de toute piece composant l'Alimentation Sans Interruption (AS!); c) Fourniture et remplacement des batteries: "
7.0;13/12/2017;Contrat 2017-2018;"d) Toute prestation de maintenance rendue necessaire par la survenance d'un ou plusieurs degŁts vises a !'Article 2.2 des"" Conditions generales du Central de maintenance• 3 FIN OE VIE DES PROOUllS SOCOMEC attire !'attention du Client sur la problemalique de fin de vie des produits. susceptible de concerner, en tout ou partie. !es Equipements. SOCOMEC s·engage a informer le Client, le cas echeant, de la survenance d'une situation de fin de vie des produits. 4DIVERS a) Saul stipulation contraire dans f'Ottre commerciale, !es Services de maintenance n'incluent pas la formation du personnel du Client a !'utilisation des Equipements b) En cas d'Options prevoyant la fourniture de Pieces de rechange et de Consommables. le Service de maintenance pourra etre dOment realise au moyen de pieces similaires au produit d'origine, presentant la meme fonclionnalite que le produil d'origine. c) Le present Central de maintenance peut coincider avec la periode de garantie des Equipements. II ne se substilue en aucun cas a la garantie du fabricant sur les Equ,pements. "
8.0;13/12/2017;Contrat 2017-2018;"GOLD SOCOMEC s'engage a realiser toutes Jes mesures de maintenance preventive el correclive des l=quipements. conformement aux presentes Conditions Particulieres, partie integrante du Contrat de maintenance. 1. DESCRIPTION DE GOLD SOCOMEC fournira les Services de maintenance suivants : a) MAINTENANCE PREVENTIVE Une (1) visite ANNUELLE de maintenance preventive comprenant  - contrOle electrique, reglage  - contrOle de fonctionnement  - contrOle mecanique  - contrOle de la tension des batteries -contrOle des alarmes et des avertissements;  - inspection environnementale des installations ;  - nettoyage des cartes de circuits imprimes electroniques (PCB)  - mises a jour des logiciels. La realisation de ces services sera planifiee avec le CLIENT et interviendra, sauf stipulation contraire dans l'Offre commerciale, du lundi au jeudi de 08h15 a 12h00 et de 13h30 a 17h30. Le vendredi de 08h15 a 12h00 et de 13h30 a 17h00, jours feries exclus. Les Services incluent Jes deplacements et le coot de la main d'reuvre. b) "
8.0;13/12/2017;Contrat 2017-2018;"MAINTENANCE CORRECTIVE • ASSISTANCE Tl=Ll=PHONIQUE dediee;  - du lundi au jeudi de 08h15 a 12h00 et de 13h30 a 17h30;  - Le vendredl de 08h15 a 12h00 et de 13h30 a 17h00 depuis le Centre d'appels SOCOMEC; • Dl=LAI D'INTERVENTION SUR SITE avant 17HOO le jour ouvrable suivant:  - VISITES SUR SITE : nombre illimite d'interventions, en ce inclus Jes deplacements et le coot de la main d'reuvre. c) OPTIONS : tous services supplementalres derogeant a ou completant le present article, specifies dans l'Offre commerciale. 2. EXCLUSIONS Saul stipulation contraire dans l'Offre commerciale, les services el les fournitures suivants ne sent pas compris dans les Services de maintenance relevant du contrat GOLD: a) Fourniture et remplacement de toute piece composant l'Alimentalion Sans Interruption (ASI); b) Fourniture et remplacement des batteries: c) "
8.0;13/12/2017;Contrat 2017-2018;Toute prestation de maintenance rendue necessaire par la survenance d'un ou plusieurs degAts vises a !'Article 2.2 des .. Conditions generales du Contrat de maintenance .. _ 3 FIN DE VIE DES PROOUTTS SOCOMEC attire !'attention du Client sur la problematique de fin de vie des produits, susceptible de concerner, en tout ou partie, Jes Equipemenls. SOCOMEC s·engage a informer le Client, le cas echeanl, de la survenance d'une silualion de fin de vie des produits. ,1 01vrns a) Saul stipulation contralre dans l'Offre commerciale, Jes Services de maintenance n'incluent pas la lormation du personnel du Client a !'utilisation des Equipements. b) En cas d'Options prevoyant la fourniture de Pieces de rechange et de Consommables, le Service de maintenance pourra Łtre dOment realise au moyen de pieces simllalres au produit d'origine, presentant la meme fonciionnaltte que le produit d'origine. c) Le present Contrat de maintenance peut cofnclder avec la periode de garantie des l=quipements. II ne se subslitue en aucun cas a la garantie du fabricanl sur les l=quipements 
9.0;13/12/2017;Contrat 2017-2018;CONDITIONS GENERALES DU CONTRAT DE MAINTENANCE I ltll RODUCrlON 1.1. Valldlte et acceptation Les Services de maintenance des equipemants (ci-apres designes las• Equipements •) fournis par SOCOMEC (ci-apres designe • SOCOMEC • ) a ses clients (ci·apres designes ta(s) • CLIENT($) • ) sont regis par las documents ci.<fessous. dans rordre de pri011te suivant : 1  -l'Offre commercials (ci-apres designee I'• Offre commerciale •) et ses annexes 2 -Conditions particulieres du Contrat de maintenance (ci-apres designees • Conditions particulieres •)  3  -Les presentes Conditions gentirales (cl•apres designees • Conditions generates •) Les documenls references an points 1, 2. et 3 du present paragraphe sont designes ci-apres conjointement par Jes termes .. Contrat de maintenance .. ou • Contrat •.  Saul -stipulation contraire, fOffre commerciale est valide un mois a compter de sa .. Date d'8mission ... L'acceptation de rOHre commerciale imptique la pteine acceptation de ses annexes, des Conditions particulieres et des Conditions generales. Toute modification ou reserve unilat8raJe des conditions du Contrat de Maintenance, quelle que soit sa fonne, ainsi que touta reference aux conditions generales d·achat du Client, non axprassement validee par SOCOMEC est nulle at non avenue. Le CLIENT accusera reception du Contrat de maintenance an la renvoyant dOment signe a SOCOMEC. 1.2. Dur6e du Contra! de maintenance La duree du Contrat de maintenance est stipulee dans l'Offre Commerciale. Sauf convention express• entre les Parties, le Contra! sera recondult automatiquament, par pl,riodes de 12 mois, a sa date d'expiration, a moins qua SOCOMEC ou le Client ne notifie la non-reconduction par courrier recommande avec accuse de reception et moyennant un preavis de soixante (60) jours avant !'expiration de la periode de 12 mcls en cours. 2, PRESTATIONS 2.1 Description 2.1.1. Services de maintenance: La nature et retendue de la prestation de maintenance sont dEterites dans l'Otfre Commerciate et executees conformement au Contrat de maintenance. Sauf spkification contraire dans l'OHre commerciale, les services ne couvrent pas la maintenance evolutive, qui consiste a remplacer les Equipements eVou a realiser des reparations destin/Jes a rendre les Equipements conformes a la toute derniere technologie. 
9.0;13/12/2017;Contrat 2017-2018;"2.1.2. Services a la demande : Sont design/Jes comma telles toutes prestalions non prevues dans l'Ottre commerciale initiale. lls sont fournis a la demande du CLIENT et moyennant une nouvelle Otfre commerciale. 11s font l'objet d'une facluration aUlonome. 2.1.3. Travaux supplernenlalrea : tous travaux supplementaires non prevus dans le cadre de l'OHre commerciafe initiale et ce faisant. dont le prix n'est pas couven par ladi1e off re, rendus nkessaires du fait de la survenance d'un evt!Jnement relevant de l'autorit8 et/au du powoir de contr61e du Client. Ces travaux suppl8mentaires et tous couls el depenses supplE!mentaires y afferents seront facturtts s8par8ment, en sus du Prix pr8Cis8 dans l'Otfre commerciale initiale. 2.2 Limites de l'etendue de la prestation de maintenance: Les reparations des degats suivants ne pourront en aucun cas litre reputes relever des prestations de maintenance, et devront faire l'objet d'un c<>ntrat de maintenance autonome Tous degAts provoques par une utilisation des Equipements non conforme aux instructions contenues dans les manuals d'utilisation et de maintenance. en ce inclus les conditions environnementales et 81ectriques du produit. que ce soit par negligence ou de maniefe vokrntaire Tous degAts resultant du refus du CLIENT d'observer ou d'appliquer les recommandations ou instructions de SOCOMEC Tous degars resultant du non-signalement par le CLIENT d'un dysfonctlonnement du prodult ou de !'installation ; Taus degAts provoques par des reparations ou des reglages realises par le CLIENT, l'utilisateur final eVou tout autre tiers ; Tous degats resultant de cas de Force Majeure conformement a la definition de !'article e ci­dessous ainsi qua tous deQflts provoques par des facteurs externes. tels qu·incendie, lnondation. pannes du syst8me de ventilation de la pike, contact avec des corps 8trangers, penetration ou rinfiltration de fluide dans les equipements Toute reparation majeure du g8n8rateur diesel statique. PRIX ET COtlDIHOt!S DE PAIEl.1EN1 "
